"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"DK-PN";"MF";"MP";"PACKAGE";"POPULARITY";"POPULATE";"PRICE";"SPICEPREFIX";"TP_SIGNAL_NAME";
"1";"";"PINHD-1X2";"1X02";"JP2";"PIN HEADER";"";"";"433-1180-ND";"";"";"";"";"Y";"";"";"";
"1";"";"PINHD-1X2";"1X02";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"N";"";"";"";
"1";"0.05uF";"C-EUC0603";"C0603";"C8";"CAPACITOR, European symbol";"";"";"399-14522-1-ND";"";"";"";"73";"Y";"";"C";"";
"1";"0.1uF";"C-EUC1206";"C1206";"C10";"CAPACITOR, European symbol";"";"";"732-8097-1-ND";"";"";"";"54";"Y";"";"C";"";
"1";"10";"R-US_R0603";"R0603";"R8";"RESISTOR, American symbol";"";"";"CRT0603-BY-10R0ELFCT-ND";"";"";"";"";"Y";"";"R";"";
"1";"1000uF";"EDT108M010S9PAA";"CAPAE1030X1050N";"C1";"EDT108M010S9PAA";"";"";"399-20518-1-ND";"";"";"";"";"Y";"";"";"";
"3";"10uF";"C-EUC0805";"C0805";"C3, C4, C5";"CAPACITOR, European symbol";"";"";"490-14381-1-ND";"";"";"";"88";"Y";"";"C";"";
"1";"10uF";"C-EUC1206";"C1206";"C11";"CAPACITOR, European symbol";"";"";"399-7012-1-ND";"";"";"";"54";"Y";"";"C";"";
"3";"180";"R-US_R0603";"R0603";"R2, R3, R4";"RESISTOR, American symbol";"";"";"P180DBCT-ND";"";"";"";"";"Y";"";"R";"";
"1";"1Mega";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"";"";"YAG4498CT-ND";"";"";"";"";"Y";"";"R";"";
"1";"1uF";"C-EUC0603";"C0603";"C6";"CAPACITOR, European symbol";"";"";"399-17705-1-ND";"";"";"";"73";"Y";"";"C";"";
"2";"267k";"R-US_R0603";"R0603";"R1, R5";"RESISTOR, American symbol";"";"";"P267KDBCT-ND";"";"";"";"";"Y";"";"R";"";
"1";"3223W-1-105E";"TRIM_EU-3223W";"3223W";"R9";"POTENTIOMETER";"";"";"3223W-1-105E";"";"";"";"";"Y";"";"";"";
"1";"523k";"R-US_R0603";"R0603";"R10";"RESISTOR, American symbol";"";"";"YAG4758CT-ND";"";"";"";"";"Y";"";"R";"";
"1";"DNP";"C-EUC0603";"C0603";"C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"N";"";"C";"";
"1";"DNP";"R-US_R0603";"R0603";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"N";"";"R";"";
"1";"LM386M-1/NOPB";"LM386M-1/NOPB";"SOIC127P600X175-8N";"U2";"Audio Amplifiers LOW VLTG AUDIO PWR AMP";"Unavailable";" Amplifier IC 1-Channel _Mono_ Class AB 8-SOIC ";"LM386MX-1/NOPBCT-ND";"Texas Instruments";"LM386M-1";"SOIC-8 Texas Instruments";"";"Y";"None";"";"";
"1";"LTC6992CS6-1TRMPBF";"LTC6992CS6-1TRMPBF";"SOT95P280X100-6N";"U1";"Voltage-Controlled Pulse Width Modulator (PWM)";"Unavailable";" Silicon Oscillator - 0.00000381MHz to 1MHz CMOS Automotive 6-Pin TSOT-23 T/R ";"LTC6992CS6-1#TRMPBFCT-ND";"Analog Devices";"LTC6992CS6-1#TRMPBF";"SOT-23-6 Analog Devices";"";"Y";"None";"";"";
"4";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"N";"";"";"";
"1";"POWER_JACKPTH_LOCK";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"J1";"Power Jack";"";"";"CP-202A-ND";"";"";"";"";"Y";"";"";"";
"6";"TPB1,27";"TPB1,27";"B1,27";"TP2, TP3, TP4, TP5, TP6, TP7";"Test pad";"";"";"";"";"";"";"";"N";"";"";"";
